epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,195.937,1.46027,1.36014,1.41647,0.54608,0.47764,0.49924,0.23558,1.75719,1.88141,1.73121,0.00108088,0.00108088,0.00108088
43,200.415,1.45932,1.41581,1.40995,0.5944,0.54465,0.57193,0.2656,1.75334,1.68659,1.69221,0.00107675,0.00107675,0.00107675
44,204.908,1.48214,1.40172,1.3946,0.58748,0.47657,0.50403,0.2261,1.8504,2.02184,1.75169,0.00107263,0.00107263,0.00107263
45,209.438,1.39921,1.32726,1.39354,0.66185,0.51094,0.55208,0.27594,1.65246,1.70811,1.65039,0.0010685,0.0010685,0.0010685
46,214.017,1.4253,1.31652,1.39679,0.64876,0.52288,0.56817,0.27986,1.72511,1.81073,1.71797,0.00106437,0.00106437,0.00106437
47,218.571,1.44863,1.37871,1.4129,0.54549,0.58237,0.5477,0.26182,1.73932,1.93712,1.68431,0.00106025,0.00106025,0.00106025
48,223.146,1.47364,1.37588,1.42017,0.66419,0.56744,0.59395,0.27617,1.71662,1.6361,1.704,0.00105612,0.00105612,0.00105612
49,227.566,1.40083,1.36605,1.36863,0.60946,0.5575,0.55253,0.26551,1.6825,1.67828,1.64666,0.001052,0.001052,0.001052
50,232.176,1.43482,1.32313,1.38965,0.57868,0.58773,0.55803,0.28012,1.59414,1.70013,1.586,0.00104787,0.00104787,0.00104787
51,236.64,1.39654,1.29372,1.40439,0.60161,0.52452,0.58079,0.28359,1.67962,1.70033,1.63537,0.00104375,0.00104375,0.00104375
52,241.191,1.41331,1.27305,1.36517,0.61418,0.56949,0.57999,0.27863,1.70359,1.84332,1.69003,0.00103962,0.00103962,0.00103962
53,245.668,1.44725,1.31385,1.37987,0.48674,0.61275,0.5187,0.25319,1.69686,1.74127,1.66332,0.0010355,0.0010355,0.0010355
54,250.128,1.40366,1.28223,1.3605,0.60048,0.5689,0.58362,0.28095,1.72428,1.6134,1.70541,0.00103138,0.00103138,0.00103138
55,254.68,1.38209,1.24335,1.37756,0.6545,0.51556,0.56663,0.27328,1.73477,1.66542,1.71432,0.00102725,0.00102725,0.00102725
56,259.215,1.40196,1.29117,1.36065,0.61798,0.5773,0.57534,0.27014,1.71072,1.58702,1.70123,0.00102312,0.00102312,0.00102312
57,263.621,1.41089,1.25362,1.37282,0.58921,0.61056,0.60506,0.27986,1.71271,1.65145,1.72391,0.001019,0.001019,0.001019
58,268.099,1.43142,1.27905,1.37096,0.60941,0.52929,0.5774,0.27969,1.7297,1.62951,1.68531,0.00101488,0.00101488,0.00101488
59,272.709,1.38414,1.21774,1.38321,0.54473,0.62568,0.58618,0.28267,1.70148,1.65508,1.66851,0.00101075,0.00101075,0.00101075
60,277.295,1.38754,1.21564,1.34891,0.66421,0.52065,0.60804,0.29009,1.69714,1.68296,1.63141,0.00100663,0.00100663,0.00100663
61,281.939,1.36316,1.24185,1.34961,0.67159,0.52412,0.59829,0.29097,1.73998,1.6416,1.6689,0.0010025,0.0010025,0.0010025
62,286.421,1.35444,1.20505,1.33321,0.66496,0.55075,0.61074,0.32308,1.58802,1.53256,1.5642,0.000998375,0.000998375,0.000998375
63,290.856,1.40392,1.24366,1.37106,0.69582,0.56883,0.63383,0.31228,1.61949,1.54488,1.57853,0.00099425,0.00099425,0.00099425
64,295.422,1.36288,1.18935,1.34019,0.65108,0.64239,0.64025,0.29809,1.70927,1.53238,1.65844,0.000990125,0.000990125,0.000990125
65,300.044,1.32153,1.16781,1.32166,0.69148,0.56279,0.64969,0.31005,1.68396,1.51655,1.67104,0.000986,0.000986,0.000986
66,304.52,1.3527,1.12409,1.34299,0.78404,0.5457,0.65044,0.31277,1.66072,1.59667,1.62206,0.000981875,0.000981875,0.000981875
67,309.049,1.36756,1.18825,1.35776,0.64297,0.58343,0.61033,0.3047,1.66639,1.57666,1.63828,0.00097775,0.00097775,0.00097775
68,313.522,1.38296,1.21266,1.34802,0.55693,0.63455,0.57327,0.28541,1.65077,1.5893,1.61317,0.000973625,0.000973625,0.000973625
69,318.083,1.35974,1.15272,1.34495,0.66933,0.65332,0.65774,0.32033,1.60775,1.58075,1.61332,0.0009695,0.0009695,0.0009695
70,322.577,1.31169,1.11745,1.32115,0.64174,0.63042,0.63717,0.30511,1.67174,1.6345,1.63902,0.000965375,0.000965375,0.000965375
71,327.066,1.31307,1.10726,1.31176,0.63801,0.67427,0.66157,0.32772,1.65403,1.48243,1.58346,0.00096125,0.00096125,0.00096125
72,331.595,1.29836,1.11976,1.3238,0.64747,0.49379,0.56869,0.27734,1.73543,1.73388,1.74038,0.000957125,0.000957125,0.000957125
73,336.106,1.31114,1.13441,1.29254,0.61123,0.54707,0.57461,0.28924,1.68908,1.64608,1.64394,0.000953,0.000953,0.000953
74,340.68,1.3164,1.14718,1.30312,0.63895,0.56749,0.59049,0.28513,1.70962,1.65522,1.65738,0.000948875,0.000948875,0.000948875
75,345.272,1.26207,1.09098,1.27957,0.67014,0.57356,0.60318,0.28638,1.69338,1.66473,1.63647,0.00094475,0.00094475,0.00094475
76,349.735,1.31378,1.12136,1.29719,0.62112,0.60995,0.61643,0.29789,1.65605,1.51813,1.64994,0.000940625,0.000940625,0.000940625
