epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,288.931,1.43625,1.29522,1.41246,0.63005,0.52535,0.54504,0.27252,1.71863,1.64915,1.6853,0.00108088,0.00108088,0.00108088
43,295.449,1.47865,1.35191,1.45111,0.50477,0.50781,0.50234,0.25076,1.79164,1.75414,1.72994,0.00107675,0.00107675,0.00107675
44,301.996,1.49434,1.35481,1.45249,0.62048,0.49854,0.53411,0.236,1.70919,1.72366,1.73247,0.00107263,0.00107263,0.00107263
45,308.494,1.39916,1.30703,1.41769,0.64084,0.49116,0.52075,0.23951,1.84331,1.78137,1.80736,0.0010685,0.0010685,0.0010685
46,314.928,1.4528,1.29993,1.43827,0.5952,0.55824,0.56051,0.26837,1.7459,1.70819,1.74203,0.00106437,0.00106437,0.00106437
47,321.433,1.44079,1.30879,1.44138,0.56434,0.59795,0.53726,0.25742,1.69081,1.62985,1.69804,0.00106025,0.00106025,0.00106025
48,328.284,1.46611,1.30944,1.4266,0.69458,0.503,0.57956,0.2767,1.75809,1.72567,1.72684,0.00105612,0.00105612,0.00105612
49,335.191,1.42077,1.25942,1.38006,0.7069,0.53667,0.57996,0.28177,1.74191,1.62249,1.68289,0.001052,0.001052,0.001052
50,341.997,1.43434,1.25159,1.40589,0.58249,0.53701,0.52565,0.24829,1.75749,1.6779,1.7759,0.00104787,0.00104787,0.00104787
51,348.998,1.39534,1.23089,1.41884,0.64004,0.471,0.52045,0.26212,1.78195,1.80025,1.76404,0.00104375,0.00104375,0.00104375
52,355.837,1.39764,1.21049,1.37196,0.71288,0.47225,0.55125,0.27557,1.76121,1.74379,1.70572,0.00103962,0.00103962,0.00103962
53,362.802,1.4254,1.23869,1.38004,0.58873,0.54233,0.56906,0.27129,1.74543,1.52369,1.6906,0.0010355,0.0010355,0.0010355
54,369.557,1.41575,1.25348,1.37957,0.50979,0.5505,0.50773,0.23945,1.77937,1.72921,1.76521,0.00103138,0.00103138,0.00103138
55,376.24,1.39565,1.20374,1.41203,0.565,0.50537,0.51588,0.23777,1.84822,1.77654,1.79079,0.00102725,0.00102725,0.00102725
56,383.126,1.38174,1.19602,1.35649,0.55248,0.50607,0.48839,0.22842,1.79524,1.70254,1.74303,0.00102312,0.00102312,0.00102312
57,389.703,1.40869,1.2065,1.37735,0.76497,0.56871,0.66065,0.30811,1.66345,1.41739,1.63971,0.001019,0.001019,0.001019
58,396.655,1.37529,1.19288,1.35112,0.63679,0.58312,0.61203,0.29925,1.74902,1.74074,1.71286,0.00101488,0.00101488,0.00101488
59,403.638,1.3549,1.19268,1.38111,0.64944,0.54629,0.59215,0.29693,1.69242,1.5856,1.67778,0.00101075,0.00101075,0.00101075
60,410.159,1.36143,1.16906,1.3639,0.63981,0.523,0.55025,0.26334,1.79534,1.68402,1.73477,0.00100663,0.00100663,0.00100663
61,416.699,1.37092,1.15337,1.37944,0.52579,0.4709,0.46473,0.22058,1.8083,1.88955,1.80222,0.0010025,0.0010025,0.0010025
62,423.188,1.32175,1.1679,1.33172,0.60636,0.50153,0.52432,0.25845,1.74965,1.61502,1.77373,0.000998375,0.000998375,0.000998375
63,429.839,1.3473,1.19968,1.35469,0.66984,0.55059,0.59192,0.29116,1.66342,1.59165,1.63475,0.00099425,0.00099425,0.00099425
64,436.471,1.34031,1.10422,1.33795,0.67357,0.58031,0.61737,0.30769,1.60577,1.58807,1.60363,0.000990125,0.000990125,0.000990125
65,443.191,1.302,1.09516,1.31944,0.60772,0.58541,0.59654,0.30186,1.71049,1.62206,1.66102,0.000986,0.000986,0.000986
66,449.766,1.30438,1.06067,1.32595,0.69623,0.53069,0.55772,0.27332,1.69688,1.67138,1.70542,0.000981875,0.000981875,0.000981875
67,456.321,1.31276,1.11935,1.34189,0.63164,0.59581,0.60587,0.29879,1.65996,1.55901,1.64342,0.00097775,0.00097775,0.00097775
68,462.87,1.31279,1.1072,1.31116,0.53379,0.58312,0.52095,0.25785,1.75831,1.7147,1.75018,0.000973625,0.000973625,0.000973625
69,469.547,1.3065,1.11233,1.30224,0.65001,0.54552,0.58508,0.28485,1.61905,1.60177,1.58912,0.0009695,0.0009695,0.0009695
70,476.106,1.23447,1.05055,1.28597,0.62913,0.58758,0.60189,0.30776,1.63849,1.50675,1.60628,0.000965375,0.000965375,0.000965375
71,482.557,1.25335,1.02048,1.29421,0.63295,0.54804,0.57928,0.28883,1.76118,1.57793,1.70509,0.00096125,0.00096125,0.00096125
72,489.135,1.23525,1.04875,1.305,0.56319,0.61027,0.56497,0.28954,1.63511,1.54541,1.632,0.000957125,0.000957125,0.000957125
73,495.617,1.27416,1.10244,1.28555,0.54662,0.57508,0.54529,0.27426,1.685,1.50363,1.64732,0.000953,0.000953,0.000953
74,502.265,1.30285,1.10396,1.31547,0.60631,0.57789,0.59824,0.29431,1.69194,1.45215,1.66584,0.000948875,0.000948875,0.000948875
75,508.749,1.21296,1.02116,1.27328,0.67255,0.51739,0.56305,0.27648,1.74642,1.64389,1.69474,0.00094475,0.00094475,0.00094475
76,515.337,1.29166,1.06383,1.29612,0.59698,0.56912,0.59287,0.31052,1.6547,1.45616,1.6435,0.000940625,0.000940625,0.000940625
77,521.921,1.26192,1.01338,1.27657,0.60824,0.52067,0.52868,0.25727,1.69885,1.72106,1.70886,0.0009365,0.0009365,0.0009365
78,528.447,1.28845,1.03698,1.31333,0.61274,0.62007,0.60307,0.29657,1.67077,1.47435,1.64541,0.000932375,0.000932375,0.000932375
79,535.023,1.24253,1.02893,1.28927,0.59906,0.54688,0.56892,0.27788,1.67068,1.5231,1.65157,0.00092825,0.00092825,0.00092825
